,count_all,freq%_all,count_nfl,freq%_nfl,count_epl,freq%_epl
real,,,,,192.0,0.035614913745130775
redskins,,,454.0,0.06503366279902592,,
relegation,,,,,179.0,0.03320348729363754
rookie,,,453.0,0.06489041684572411,,
running,,,494.0,0.07076350093109869,,
ryan,,,458.0,0.0656066466122332,,
scored,,,,,164.0,0.030421072157299202
sheffield,,,,,224.0,0.04155073270265257
smith,,,522.0,0.07477438762354964,,
soccer,,,,,216.0,0.04006677796327212
southampton,,,,,225.0,0.041736227045075125
sport,,,,,156.0,0.028937117417918753
spurs,,,,,434.0,0.08050454461138935
squad,,,,,182.0,0.03375997032090521
table,,,,,284.0,0.052680393248005934
thoughts,,,,,267.0,0.04952698942682248
tickets,,,,,253.0,0.0469300686329067
title,,,,,331.0,0.061398627341866074
tottenham,,,,,457.0,0.08477091448710815
trade,,,545.0,0.07806904454949147,,
transfer,,,,,217.0,0.04025227230569468
trying,,,,,208.0,0.03858282322389167
tv,,,,,177.0,0.032832498608792435
understand,,,,,155.0,0.028751623075496197
use,,,,,164.0,0.030421072157299202
used,,,,,158.0,0.029308106102763867
utd,,,,,247.0,0.04581710257837136
var,,,,,464.0,0.08606937488406603
view,,,,,251.0,0.046559079948061584
villa,,,,,302.0,0.056019291411611945
wolves,,,,,334.0,0.06195511036913374
wondering,,,,,174.0,0.032276015581524764
work,,,,,163.0,0.030235577814876645
world,,,,,376.0,0.0697458727508811
wrong,,,,,163.0,0.030235577814876645
