Feature Name,Odds
premier,0.14511658195545027
pl,0.32218635485068015
liverpool,0.346444771065564
league,0.4051798927874466
arsenal,0.4234677526175186
epl,0.43721412092479994
club,0.4381214188759073
chelsea,0.44666040454104927
united,0.4907167042099343
var,0.4991926562184772
clubs,0.5191224859123016
spurs,0.5942464401419518
city,0.594691144770549
matches,0.6187106347916365
match,0.6367121524344443
goals,0.6509880359788851
manager,0.6572734689798032
tottenham,0.6580378486887596
view,0.6583018708273328
english,0.658854958105125
newcastle,0.6594215738869669
leicester,0.6787534743312339
goal,0.6828712292267158
prem,0.6861420026691006
everton,0.6909877756679985
man,0.6914562221868135
manchester,0.6937869019673634
poll,0.6993132562013922
offside,0.7110757991744749
wolves,0.7219749584604322
table,0.728242025858736
peacock,0.7320224812144357
sky,0.7379414858263194
transfer,0.7385730356226888
fifa,0.7422858008773457
brighton,0.7513386657202925
utd,0.7558569538587667
leeds,0.7559064136456402
london,0.7620602657642076
southampton,0.7732568317687658
burnley,0.7794569806603728
relegation,0.7822597472386583
kit,0.7829004340022467
nbc,0.7868459665483238
mourinho,0.7956436621814577
bruyne,0.7963577971358428
lampard,0.8018931089820467
pogba,0.8026160130283778
pep,0.8068944334780447
ham,0.8100108551806604
cup,0.812540432968344
fixtures,0.8184785049552478
maguire,0.8200391306938457
pitch,0.8243605864395326
hello,0.8330594203294447
sterling,0.8369661028888149
world,0.8370122303679258
youth,0.8384845468394895
today,0.8386436448246478
finish,0.8396722277162396
england,0.8415725101653299
euros,0.8427506547664946
striker,0.8460184302525702
kane,0.850268812516077
does,0.8519850338872323
ozil,0.8545337282088847
managers,0.8564976522307195
lingard,0.856768643738184
footballers,0.8608009507458495
title,0.8611515163268691
salah,0.8612399605501203
aguero,0.8613578914048855
app,0.8618702911567545
champions,0.8638777798696846
pundit,0.8639799190277931
goalkeeper,0.8650243900304296
referee,0.8655349147140033
brom,0.8659213284233782
villa,0.8670897492158238
lads,0.8670912962463464
nbcsn,0.8671994652898396
fpl,0.867624472159325
month,0.8676927107397706
klopp,0.8677416452088975
discuss,0.8689395679039251
leagues,0.8697045152385244
matchweek,0.8700301968958158
handball,0.8701504827831527
video,0.8716427257023723
hi,0.8725668673289715
van,0.8732095572844386
shirt,0.8734311519492389
messi,0.8748923169093336
foul,0.8761499571225052
lineup,0.8766449496548292
watford,0.8768967753880396
form,0.8770444939679524
box,0.8771643581311066
surely,0.8773767044380538
looking,0.8777628656263524
3pm,0.8795633162965151
football,0.8802127727119193
thanks,0.8802192974460481
support,0.8805162903814516
fa,0.8813727772155272
second,0.8842735126099348
ederson,0.8858545825377873
vibe,0.8911707109588659
podcasts,0.8923545784954428
palace,0.8936928331238302
sheffield,0.8938882348009096
zaha,0.8942021617050676
quality,0.8948083982784468
difficult,0.8949732023429305
keeper,0.8950334385135393
arteta,0.8950703776371142
european,0.8962597339989343
mane,0.8966330717941843
pfa,0.8966888809548714
kits,0.8967622945863201
streaming,0.8971906675577145
lloris,0.8979487135677962
international,0.897953879039799
chilwell,0.8988924137848966
gameweek,0.8988967023629062
performances,0.8995796911307221
fulham,0.8997070010985304
silva,0.8997642280233596
werner,0.900053421665395
bissaka,0.9008852989925069
dissertation,0.9010310996647768
welcoming,0.9012089928033765
welbeck,0.901664467844868
trialed,0.9016661841614544
rpremierleague,0.9019121952830802
diving,0.902289426002707
73rd,0.9023851631743253
red,0.9024495242446939
derby,0.9024597865561348
twitter,0.9024921627013407
rooney,0.9032343471209305
american,0.9039722635363401
soccer,0.9039952086651736
mls,0.9040859137041534
pukki,0.9045219345413761
watch,0.9052180861865694
outside,0.9058315090956307
ziyech,0.9066697470207803
bale,0.90698804400997
ups,0.9073290774334121
yank,0.9073904588357975
ban,0.9082630299232437
streams,0.9088820442018507
upvotes,0.9090251736147948
bruno,0.9101809718306574
aston,0.910496693896733
euro,0.9106970151299938
jose,0.9110465100344277
fouled,0.9110694787488234
facebook,0.9111431262803268
commentator,0.9111782397029257
madrid,0.9112058224150991
fit,0.9120719076310525
supporters,0.9122307456545559
use,0.9125288891795649
onwards,0.9139710063809591
beautiful,0.9149325564477028
promoted,0.915595510285762
mins,0.9156178193633794
best,0.916092593125935
firmino,0.9162090899280395
curious,0.916232874875336
intro,0.9168561108706395
footy,0.9169260218174874
song,0.9171762936541551
tactics,0.9178249785819791
finances,0.9180814979903307
shield,0.9181295143649513
boxing,0.9184734309666003
assists,0.9186754703655837
fans,0.9190828502892129
1516,0.9193419908337304
onwhos,0.9196992749989643
20102020,0.9198706962033664
weekend,0.919907420090336
arsenals,0.9199373581407849
overlooked,0.920025663868804
uefa,0.9204825392178825
site,0.9207014582241896
xi,0.9208501519026334
kdb,0.9212809056078678
esl,0.9213171945432219
rashford,0.9214008810959552
aubameyang,0.9219634882885139
citys,0.9220726849800095
xhaka,0.9223863656493398
grealish,0.9229342530633078
utter,0.9230673215597759
socials,0.9232151383342394
stream,0.9242746232645207
taa,0.9249488755484547
