Column Name,Feature Importance
nfl,0.07291211135855705
premier,0.04213708171737687
league,0.03796479874145004
qb,0.027483714658501093
liverpool,0.020204127018637698
year,0.0181863099089575
chelsea,0.014324410863714932
club,0.013682445356833254
draft,0.013674319292639207
united,0.013386212436548377
bowl,0.01280646383697026
arsenal,0.01187094448992433
pl,0.011397977857221336
yards,0.011044995732323835
brady,0.009535604359291053
city,0.008981419370735764
team,0.008637765229917166
patriots,0.00839338827933294
clubs,0.007810413392512607
manchester,0.007728456101301805
super,0.00758618346863548
like,0.007403512829124606
man,0.007351473536150259
years,0.006450830399797083
epl,0.006364374314582746
qbs,0.0063600430512636644
offense,0.006214034496085485
field,0.006144080794460283
game,0.005247971091607537
just,0.005231633933044421
playoffs,0.005081226989672119
steelers,0.00492350990631526
giants,0.004790742855563839
eagles,0.004737893520226468
browns,0.004733767831153938
match,0.004720950151552794
chiefs,0.004716833012561314
everton,0.004697183269787865
playoff,0.004582824680827126
career,0.004522472077482775
var,0.004424591215865216
defense,0.004371331507361535
spurs,0.004126663441657316
ravens,0.003879126276792921
rams,0.0038284301124210454
cowboys,0.0037925181666324725
teams,0.0037910587491543166
tom,0.003787151889594324
week,0.003767422027689155
pick,0.0037171907971616527
